"","from_gene","Homo_sapiens","Mus_musculus","to_symbol"
"ADORA3","ADORA3","140",NA,NA
"ADPRH","ADPRH","141",11544,"Adprh"
"PARP1","PARP1","142",11545,"Parp1"
"PARP4","PARP4","143",328417,"Parp4"
"PARP1P1","PARP1P1","144",NA,NA
"PARP1P2","PARP1P2","145",NA,NA
"ADRA1D","ADRA1D","146",11550,"Adra1d"
"ADRA1B","ADRA1B","147",11548,"Adra1b"
"ADRA1A","ADRA1A","148",11549,"Adra1a"
"ADRA2A","ADRA2A","150",11551,"Adra2a"
"ADRA2B","ADRA2B","151",11552,"Adra2b"
"ADRA2C","ADRA2C","152",11553,"Adra2c"
"ADRB1","ADRB1","153",11554,"Adrb1"
"ADRB2","ADRB2","154",11555,"Adrb2"
"ADRB3","ADRB3","155",11556,"Adrb3"
"GRK2","GRK2","156",110355,"Grk2"
"GRK3","GRK3","157",320129,"Grk3"
"ADSL","ADSL","158",11564,"Adsl"
"ADSS2","ADSS2","159",11566,"Adss"
"AP2A1","AP2A1","160",11771,"Ap2a1"
"AP2A2","AP2A2","161",11772,"Ap2a2"
"AP1B1","AP1B1","162",11764,"Ap1b1"
"AP2B1","AP2B1","163",71770,"Ap2b1"
"AP1G1","AP1G1","164",11765,"Ap1g1"
"AEBP1","AEBP1","165",11568,"Aebp1"
"TLE5","TLE5","166",14797,"Tle5"
"CRISP1","CRISP1","167",11571,"Crisp1"
"AF8T","AF8T","169",NA,NA
"AFA","AFA","170",NA,NA
"AFD1","AFD1","171",NA,NA
"AFG3L1P","AFG3L1P","172",NA,NA
"AFM","AFM","173",280662,"Afm"
"AFP","AFP","174",11576,"Afp"
"AGA","AGA","175",11593,"Aga"
"ACAN","ACAN","176",11595,"Acan"
"AGER","AGER","177",11596,"Ager"
"AGL","AGL","178",77559,"Agl"
"AGMX2","AGMX2","179",NA,NA
"AGRP","AGRP","181",11604,"Agrp"
"JAG1","JAG1","182",16449,"Jag1"
"AGT","AGT","183",11606,"Agt"
"AGTR1","AGTR1","185",11608,"Agtr1b"
"AGTR2","AGTR2","186",11609,"Agtr2"
"APLNR","APLNR","187",23796,"Aplnr"
"AGXT","AGXT","189",11611,"Agxt"
"NR0B1","NR0B1","190",11614,"Nr0b1"
"AHCY","AHCY","191",269378,"Ahcy"
"AIC","AIC","192",NA,NA
"AHR","AHR","196",11622,"Ahr"
"AHSG","AHSG","197",11625,"Ahsg"
"AIF1","AIF1","199",11629,"Aif1"
"AIH3","AIH3","201",NA,NA
"CRYBG1","CRYBG1","202",11630,"Crybg1"
"AK1","AK1","203",11636,"Ak1"
"AK2","AK2","204",11637,"Ak2"
"AK4","AK4","205",11639,"Ak4"
"AK4P1","AK4P1","206",NA,NA
"AKT1","AKT1","207",11651,"Akt1"
"AKT2","AKT2","208",11652,"Akt2"
"ALAD","ALAD","210",17025,"Alad"
"ALAS1","ALAS1","211",11655,"Alas1"
"ALAS2","ALAS2","212",11656,"Alas2"
"ALB","ALB","213",11657,"Alb"
"ALCAM","ALCAM","214",11658,"Alcam"
"ABCD1","ABCD1","215",11666,"Abcd1"
"ALDH1A1","ALDH1A1","216",NA,NA
"ALDH2","ALDH2","217",11669,"Aldh2"
"ALDH3A1","ALDH3A1","218",11670,"Aldh3a1"
"ALDH1B1","ALDH1B1","219",72535,"Aldh1b1"
"ALDH1A3","ALDH1A3","220",56847,"Aldh1a3"
"ALDH3B1","ALDH3B1","221",67689,"Aldh3b1"
"ALDH3B2","ALDH3B2","222",NA,NA
"ALDH9A1","ALDH9A1","223",56752,"Aldh9a1"
"ALDH3A2","ALDH3A2","224",NA,NA
"ABCD2","ABCD2","225",26874,"Abcd2"
"ALDOA","ALDOA","226",11674,"Aldoa"
"ALDOAP2","ALDOAP2","228",NA,NA
"ALDOB","ALDOB","229",230163,"Aldob"
"ALDOC","ALDOC","230",11676,"Aldoc"
"AKR1B1","AKR1B1","231",11677,"Akr1b3"
"AKR1B1P2","AKR1B1P2","236",NA,NA
"ALK","ALK","238",11682,"Alk"
"ALOX12","ALOX12","239",11684,"Alox12"
"ALOX5","ALOX5","240",11689,"Alox5"
"ALOX5AP","ALOX5AP","241",11690,"Alox5ap"
"ALOX12B","ALOX12B","242",11686,"Alox12b"
"ALOX12P1","ALOX12P1","243",NA,NA
"ALOX12P2","ALOX12P2","245",NA,NA
"ALOX15","ALOX15","246",NA,NA
"ALOX15B","ALOX15B","247",11688,"Alox8"
"ALPI","ALPI","248",76768,"Alpi"
"ALPL","ALPL","249",11647,"Alpl"
"ALPP","ALPP","250",NA,NA
"ALPG","ALPG","251",NA,NA
"ALS3","ALS3","253",NA,NA
"ALX3","ALX3","257",11694,"Alx3"
"AMBN","AMBN","258",11698,"Ambn"
"AMBP","AMBP","259",11699,"Ambp"
"AMCN","AMCN","261",NA,NA
"AMD1","AMD1","262",11702,"Amd1"
"AMD1P2","AMD1P2","263",NA,NA
"AMELX","AMELX","265",11704,"Amelx"
"AMELY","AMELY","266",NA,NA
"AMFR","AMFR","267",23802,"Amfr"
"AMH","AMH","268",11705,"Amh"
"AMHR2","AMHR2","269",110542,"Amhr2"
"AMPD1","AMPD1","270",229665,"Ampd1"
"AMPD2","AMPD2","271",109674,"Ampd2"
"AMPD3","AMPD3","272",11717,"Ampd3"
"AMPH","AMPH","273",218038,"Amph"
"BIN1","BIN1","274",30948,"Bin1"
"AMT","AMT","275",434437,"Amt"
"AMY1A","AMY1A","276",NA,NA
"AMY1B","AMY1B","277",NA,NA
"AMY1C","AMY1C","278",NA,NA
"AMY2A","AMY2A","279",NA,NA
"AMY2B","AMY2B","280",NA,NA
"AMYP1","AMYP1","281",NA,NA
"ANCR","ANCR","282",NA,NA
"ANG","ANG","283",11727,"Ang"
"ANGPT1","ANGPT1","284",11600,"Angpt1"
"ANGPT2","ANGPT2","285",11601,"Angpt2"
"ANK1","ANK1","286",11733,"Ank1"
"ANK2","ANK2","287",109676,"Ank2"
"ANK3","ANK3","288",11735,"Ank3"
"ANOP1","ANOP1","289",NA,NA
"ANPEP","ANPEP","290",16790,"Anpep"
"SLC25A4","SLC25A4","291",11739,"Slc25a4"
"SLC25A5","SLC25A5","292",11740,"Slc25a5"
"SLC25A6","SLC25A6","293",NA,NA
"ANXA1","ANXA1","301",16952,"Anxa1"
"ANXA2","ANXA2","302",12306,"Anxa2"
"ANXA2P1","ANXA2P1","303",NA,NA
"ANXA2P2","ANXA2P2","304",NA,NA
"ANXA2P3","ANXA2P3","305",NA,NA
"ANXA3","ANXA3","306",11745,"Anxa3"
"ANXA4","ANXA4","307",11746,"Anxa4"
"ANXA5","ANXA5","308",11747,"Anxa5"
"ANXA6","ANXA6","309",11749,"Anxa6"
"ANXA7","ANXA7","310",11750,"Anxa7"
"ANXA11","ANXA11","311",11744,"Anxa11"
"ANXA13","ANXA13","312",69787,"Anxa13"
"AOAH","AOAH","313",27052,"Aoah"
"AOC2","AOC2","314",237940,"Aoc2"
"AOX1","AOX1","316",11761,"Aox1"
"APAF1","APAF1","317",11783,"Apaf1"
"NUDT2","NUDT2","318",66401,"Nudt2"
"APOF","APOF","319",103161,"Apof"
"APBA1","APBA1","320",319924,"Apba1"
"APBA2","APBA2","321",11784,"Apba2"
"APBB1","APBB1","322",11785,"Apbb1"
"APBB2","APBB2","323",11787,"Apbb2"
"APC","APC","324",11789,"Apc"
"APCS","APCS","325",20219,"Apcs"
"AIRE","AIRE","326",11634,"Aire"
"APEH","APEH","327",235606,"Apeh"
"APEX1","APEX1","328",11792,"Apex1"
"BIRC2","BIRC2","329",11797,"Birc2"
"BIRC3","BIRC3","330",NA,NA
"XIAP","XIAP","331",11798,"Xiap"
"BIRC5","BIRC5","332",11799,"Birc5"
"APLP1","APLP1","333",11803,"Aplp1"
"APLP2","APLP2","334",11804,"Aplp2"
"APOA1","APOA1","335",11806,"Apoa1"
"APOA2","APOA2","336",11807,"Apoa2"
"APOA4","APOA4","337",11808,"Apoa4"
"APOB","APOB","338",238055,"Apob"
"APOBEC1","APOBEC1","339",11810,"Apobec1"
"APOC1","APOC1","341",11812,"Apoc1"
"APOC1P1","APOC1P1","342",NA,NA
"AQP8","AQP8","343",11833,"Aqp8"
"APOC2","APOC2","344",11813,"Apoc2"
"APOC3","APOC3","345",11814,"Apoc3"
"APOC4","APOC4","346",11425,"Apoc4"
"APOD","APOD","347",11815,"Apod"
"APOE","APOE","348",11816,"Apoe"
"APOH","APOH","350",11818,"Apoh"
"APP","APP","351",11820,"App"
"APRT","APRT","353",11821,"Aprt"
"KLK3","KLK3","354",NA,NA
"FAS","FAS","355",14102,"Fas"
"FASLG","FASLG","356",14103,"Fasl"
"SHROOM2","SHROOM2","357",110380,"Shroom2"
"AQP1","AQP1","358",11826,"Aqp1"
"AQP2","AQP2","359",11827,"Aqp2"
"AQP3","AQP3","360",11828,"Aqp3"
"AQP4","AQP4","361",11829,"Aqp4"
"AQP5","AQP5","362",11830,"Aqp5"
"AQP6","AQP6","363",11831,"Aqp6"
"AQP7","AQP7","364",11832,"Aqp7"
"AQP9","AQP9","366",64008,"Aqp9"
"AR","AR","367",11835,"Ar"
"ABCC6","ABCC6","368",27421,"Abcc6"
"ARAF","ARAF","369",11836,"Araf"
"ARCN1","ARCN1","372",213827,"Arcn1"
"TRIM23","TRIM23","373",81003,"Trim23"
"AREG","AREG","374",11839,"Areg"
"ARF1","ARF1","375",11840,"Arf1"
"ARF3","ARF3","377",11842,"Arf3"
"ARF4","ARF4","378",11843,"Arf4"
"ARL4D","ARL4D","379",80981,"Arl4d"
"ARF4P1","ARF4P1","380",NA,NA
"ARF5","ARF5","381",11844,"Arf5"
"ARF6","ARF6","382",11845,"Arf6"
"ARG1","ARG1","383",11846,"Arg1"
"ARG2","ARG2","384",11847,"Arg2"
"RHOA","RHOA","387",11848,"Rhoa"
"RHOB","RHOB","388",11852,"Rhob"
"RHOC","RHOC","389",11853,"Rhoc"
"RND3","RND3","390",74194,"Rnd3"
"RHOG","RHOG","391",56212,"Rhog"
"ARHGAP1","ARHGAP1","392",228359,"Arhgap1"
"ARHGAP4","ARHGAP4","393",171207,"Arhgap4"
"ARHGAP5","ARHGAP5","394",11855,"Arhgap5"
"ARHGAP6","ARHGAP6","395",11856,"Arhgap6"
"ARHGDIA","ARHGDIA","396",192662,"Arhgdia"
"ARHGDIB","ARHGDIB","397",11857,"Arhgdib"
"ARHGDIG","ARHGDIG","398",14570,"Arhgdig"
"RHOH","RHOH","399",74734,"Rhoh"
"ARL1","ARL1","400",104303,"Arl1"
"PHOX2A","PHOX2A","401",11859,"Phox2a"
"ARL2","ARL2","402",56327,"Arl2"
"ARL3","ARL3","403",56350,"Arl3"
"ARNT","ARNT","405",11863,"Arnt"
"BMAL1","BMAL1","406",11865,"Bmal1"
"ARR3","ARR3","407",170735,"Arr3"
"ARRB1","ARRB1","408",109689,"Arrb1"
"ARRB2","ARRB2","409",216869,"Arrb2"
"ARSA","ARSA","410",11883,"Arsa"
"ARSB","ARSB","411",11881,"Arsb"
"STS","STS","412",20905,"Sts"
"ARSC2","ARSC2","413",NA,NA
"ARSD","ARSD","414",NA,NA
"ARSL","ARSL","415",NA,NA
"ARSF","ARSF","416",NA,NA
"ART1","ART1","417",11870,"Art1"
"ART2P","ART2P","418",NA,NA
"ART3","ART3","419",109979,"Art3"
"ART4","ART4","420",109978,"Art4"
"ARVCF","ARVCF","421",11877,"Arvcf"
"ARVD3","ARVD3","424",NA,NA
"ARVD4","ARVD4","425",NA,NA
"ASAH1","ASAH1","427",11886,"Asah1"
"ASCL1","ASCL1","429",17172,"Ascl1"
"ASCL2","ASCL2","430",17173,"Ascl2"
"ASD1","ASD1","431",NA,NA
"ASGR1","ASGR1","432",NA,NA
"ASGR2","ASGR2","433",11890,"Asgr2"
"ASIP","ASIP","434",50518,"a"
"ASL","ASL","435",109900,"Asl"
"ASLP1","ASLP1","436",NA,NA
"ASMT","ASMT","438",107626,"Asmt"
"GET3","GET3","439",56495,"Get3"
"ASNS","ASNS","440",27053,"Asns"
"ASNSP2","ASNSP2","442",NA,NA
"ASPA","ASPA","443",11484,"Aspa"
"ASPH","ASPH","444",65973,"Asph"
"ASS1","ASS1","445",11898,"Ass1"
"ASS1P2","ASS1P2","447",NA,NA
"ASS1P4","ASS1P4","449",NA,NA
"ASS1P5","ASS1P5","450",NA,NA
"ASS1P6","ASS1P6","451",NA,NA
"ASS1P8","ASS1P8","453",NA,NA
"ASS1P9","ASS1P9","454",NA,NA
"ASS1P10","ASS1P10","455",NA,NA
"ASS1P14","ASS1P14","459",NA,NA
"ASTN1","ASTN1","460",11899,"Astn1"
"SERPINC1","SERPINC1","462",11905,"Serpinc1"
"ZFHX3","ZFHX3","463",11906,"Zfhx3"
"ATD","ATD","465",NA,NA
"ATF1","ATF1","466",11908,"Atf1"
"ATF3","ATF3","467",11910,"Atf3"
"ATF4","ATF4","468",11911,"Atf4"
"ATF4P1","ATF4P1","469",NA,NA
"ATHS","ATHS","470",NA,NA
"ATIC","ATIC","471",108147,"Atic"
"ATM","ATM","472",11920,"Atm"
"RERE","RERE","473",68703,"Rere"
"ATOH1","ATOH1","474",11921,"Atoh1"
"ATOX1","ATOX1","475",11927,"Atox1"
"ATP1A1","ATP1A1","476",11928,"Atp1a1"
"ATP1A2","ATP1A2","477",NA,NA
"ATP1A3","ATP1A3","478",232975,"Atp1a3"
"ATP12A","ATP12A","479",192113,"Atp12a"
"ATP1A4","ATP1A4","480",27222,"Atp1a4"
"ATP1B1","ATP1B1","481",11931,"Atp1b1"
"ATP1B2","ATP1B2","482",11932,"Atp1b2"
"ATP1B3","ATP1B3","483",11933,"Atp1b3"
"ATP1B3P1","ATP1B3P1","484",NA,NA
"ATP1B1P1","ATP1B1P1","485",NA,NA
"FXYD2","FXYD2","486",11936,"Fxyd2"
"ATP2A1","ATP2A1","487",11937,"Atp2a1"
"ATP2A2","ATP2A2","488",11938,"Atp2a2"
"ATP2A3","ATP2A3","489",53313,"Atp2a3"
"ATP2B1","ATP2B1","490",67972,"Atp2b1"
"ATP2B2","ATP2B2","491",11941,"Atp2b2"
"ATP2B3","ATP2B3","492",320707,"Atp2b3"
"ATP2B4","ATP2B4","493",381290,"Atp2b4"
"ATP4A","ATP4A","495",11944,"Atp4a"
"ATP4B","ATP4B","496",11945,"Atp4b"
"ATP5F1A","ATP5F1A","498",11946,"Atp5a1"
"ALDH7A1","ALDH7A1","501",110695,"Aldh7a1"
"ATP5F1AP2","ATP5F1AP2","504",NA,NA
"ATP5F1B","ATP5F1B","506",11947,"Atp5b"
"ATP5F1BP1","ATP5F1BP1","507",NA,NA
"ATP5F1C","ATP5F1C","509",11949,"Atp5c1"
"ATP5F1D","ATP5F1D","513",66043,"Atp5d"
"ATP5F1E","ATP5F1E","514",67126,"Atp5e"
"ATP5PB","ATP5PB","515",11950,"Atp5pb"
"ATP5MC1","ATP5MC1","516",11951,"Atp5g1"
"ATP5MC2","ATP5MC2","517",67942,"Atp5g2"
"ATP5MC3","ATP5MC3","518",228033,"Atp5g3"
"ATP5MC2P1","ATP5MC2P1","520",NA,NA
"ATP5ME","ATP5ME","521",11958,"Atp5k"
"ATP5PF","ATP5PF","522",11957,"Atp5j"
"ATP6V1A","ATP6V1A","523",11964,"Atp6v1a"
"ATP6V1B1","ATP6V1B1","525",110935,"Atp6v1b1"
"ATP6V1B2","ATP6V1B2","526",11966,"Atp6v1b2"
"ATP6V0C","ATP6V0C","527",11984,"Atp6v0c"
"ATP6V1C1","ATP6V1C1","528",66335,"Atp6v1c1"
"ATP6V1E1","ATP6V1E1","529",11973,"Atp6v1e1"
"ATP6V0B","ATP6V0B","533",114143,"Atp6v0b"
"ATP6V1G2","ATP6V1G2","534",66237,"Atp6v1g2"
"ATP6V0A1","ATP6V0A1","535",11975,"Atp6v0a1"
"ATP6AP1","ATP6AP1","537",54411,"Atp6ap1"
"ATP7A","ATP7A","538",11977,"Atp7a"
"ATP5PO","ATP5PO","539",28080,"Atp5o"
"ATP7B","ATP7B","540",11979,"Atp7b"
"ALDH7A1P1","ALDH7A1P1","541",NA,NA
"ALDH7A1P2","ALDH7A1P2","542",NA,NA
"ALDH7A1P3","ALDH7A1P3","543",NA,NA
"ALDH7A1P4","ALDH7A1P4","544",NA,NA
"ATR","ATR","545",245000,"Atr"
"ATRX","ATRX","546",22589,"Atrx"
"KIF1A","KIF1A","547",16560,"Kif1a"
"AUH","AUH","549",11992,"Auh"
"AUP1","AUP1","550",11993,"Aup1"
"AVP","AVP","551",11998,"Avp"
"AVPR1A","AVPR1A","552",54140,"Avpr1a"
"AVPR1B","AVPR1B","553",26361,"Avpr1b"
"AVPR2","AVPR2","554",12000,"Avpr2"
"AXL","AXL","558",26362,"Axl"
"AZF1","AZF1","560",NA,NA
"AZGP1","AZGP1","563",12007,"Azgp1"
"AZU1","AZU1","566",NA,NA
"B2M","B2M","567",12010,"B2m"
"B2MR","B2MR","568",NA,NA
"BAAT","BAAT","570",12012,"Baat"
"BACH1","BACH1","571",12013,"Bach1"
"BAD","BAD","572",12015,"Bad"
"BAG1","BAG1","573",12017,"Bag1"
"BAGE","BAGE","574",NA,NA
"ADGRB1","ADGRB1","575",107831,"Adgrb1"
"ADGRB2","ADGRB2","576",230775,"Adgrb2"
"ADGRB3","ADGRB3","577",210933,"Adgrb3"
"BAK1","BAK1","578",12018,"Bak1"
"NKX3-2","NKX3-2","579",12020,"Nkx3-2"
"BARD1","BARD1","580",12021,"Bard1"
"BAX","BAX","581",12028,"Bax"
"BBS1","BBS1","582",52028,"Bbs1"
"BBS2","BBS2","583",67378,"Bbs2"
"BBS4","BBS4","585",102774,"Bbs4"
"BCAT1","BCAT1","586",12035,"Bcat1"
"BCAT2","BCAT2","587",12036,"Bcat2"
"BCHE","BCHE","590",12038,"Bche"
"BCKDHA","BCKDHA","593",12039,"Bckdha"
"BCKDHB","BCKDHB","594",12040,"Bckdhb"
"CCND1","CCND1","595",12443,"Ccnd1"
"BCL2","BCL2","596",12043,"Bcl2"
"BCL2A1","BCL2A1","597",NA,NA
"BCL2L1","BCL2L1","598",12048,"Bcl2l1"
"BCL2L2","BCL2L2","599",NA,NA
"BAK1P1","BAK1P1","600",NA,NA
"BAK1P2","BAK1P2","601",NA,NA
"BCL3","BCL3","602",12051,"Bcl3"
"BCL5","BCL5","603",NA,NA
"BCL6","BCL6","604",12053,"Bcl6"
"BCL7A","BCL7A","605",77045,"Bcl7a"
"NBEAP1","NBEAP1","606",NA,NA
"BCL9","BCL9","607",77578,"Bcl9"
"TNFRSF17","TNFRSF17","608",21935,"Tnfrsf17"
"HCN2","HCN2","610",15166,"Hcn2"
"OPN1SW","OPN1SW","611",12057,"Opn1sw"
"BCR","BCR","613",110279,"Bcr"
"BCRP4","BCRP4","616",NA,NA
"BCS1L","BCS1L","617",66821,"Bcs1l"
"BCYRN1","BCYRN1","618",NA,NA
"BCYRN1P1","BCYRN1P1","619",NA,NA
"BCYRN1P2","BCYRN1P2","620",NA,NA
"BDH1","BDH1","622",71911,"Bdh1"
"BDKRB1","BDKRB1","623",12061,"Bdkrb1"
"BDKRB2","BDKRB2","624",12062,"Bdkrb2"
"BDNF","BDNF","627",12064,"Bdnf"
"BEVI","BEVI","628",NA,NA
"CFB","CFB","629",14962,"Cfb"
"BFSP1","BFSP1","631",12075,"Bfsp1"
"BGLAP","BGLAP","632",12096,"Bglap"
"BGN","BGN","633",12111,"Bgn"
"CEACAM1","CEACAM1","634",NA,NA
"BHMT","BHMT","635",12116,"Bhmt"
"BICD1","BICD1","636",12121,"Bicd1"
"BID","BID","637",12122,"Bid"
"BIK","BIK","638",12124,"Bik"
"PRDM1","PRDM1","639",12142,"Prdm1"
"BLK","BLK","640",12143,"Blk"
"BLM","BLM","641",12144,"Blm"
"BLMH","BLMH","642",104184,"Blmh"
"CXCR5","CXCR5","643",12145,"Cxcr5"
"BLVRA","BLVRA","644",109778,"Blvra"
"BLVRB","BLVRB","645",233016,"Blvrb"
"BNC1","BNC1","646",12173,"Bnc1"
"BMI1","BMI1","648",12151,"Bmi1"
"BMP1","BMP1","649",12153,"Bmp1"
"BMP2","BMP2","650",12156,"Bmp2"
"BMP3","BMP3","651",110075,"Bmp3"
"BMP4","BMP4","652",12159,"Bmp4"
"BMP5","BMP5","653",12160,"Bmp5"
"BMP6","BMP6","654",12161,"Bmp6"
"BMP7","BMP7","655",12162,"Bmp7"
"BMP8B","BMP8B","656",12164,"Bmp8b"
"BMPR1A","BMPR1A","657",12166,"Bmpr1a"
"BMPR1B","BMPR1B","658",12167,"Bmpr1b"
"BMPR2","BMPR2","659",12168,"Bmpr2"
"BMX","BMX","660",12169,"Bmx"
"POLR3D","POLR3D","661",67065,"Polr3d"
"BNIP1","BNIP1","662",224630,"Bnip1"
"BNIP2","BNIP2","663",12175,"Bnip2"
"BNIP3","BNIP3","664",12176,"Bnip3"
"BNIP3L","BNIP3L","665",12177,"Bnip3l"
"BOK","BOK","666",51800,"Bok"
"DST","DST","667",13518,"Dst"
"FOXL2","FOXL2","668",26927,"Foxl2"
"BPGM","BPGM","669",12183,"Bpgm"
"BPHL","BPHL","670",68021,"Bphl"
"BPI","BPI","671",329547,"Bpi"
"BRCA1","BRCA1","672",12189,"Brca1"
"BRAF","BRAF","673",109880,"Braf"
"BRCA2","BRCA2","675",12190,"Brca2"
"BRDT","BRDT","676",114642,"Brdt"
"ZFP36L1","ZFP36L1","677",12192,"Zfp36l1"
"ZFP36L2","ZFP36L2","678",12193,"Zfp36l2"
"BRS3","BRS3","680",12209,"Brs3"
"BSG","BSG","682",12215,"Bsg"
"BST1","BST1","683",12182,"Bst1"
"BST2","BST2","684",69550,"Bst2"
"BTC","BTC","685",12223,"Btc"
"BTD","BTD","686",26363,"Btd"
"KLF9","KLF9","687",16601,"Klf9"
"KLF5","KLF5","688",12224,"Klf5"
"BTF3","BTF3","689",218490,"Btf3"
"BTF3P11","BTF3P11","690",NA,NA
"BTF3P1","BTF3P1","693",NA,NA
"BTG1","BTG1","694",12226,"Btg1"
"BTK","BTK","695",12229,"Btk"
"BTN1A1","BTN1A1","696",12231,"Btn1a1"
