"","from_gene","Mus_musculus","Homo_sapiens","to_symbol"
"Rhoay-ps1","Rhoay-ps1","11849",NA,NA
"Rhoay-ps2","Rhoay-ps2","11850",NA,NA
"Rhoay-ps3","Rhoay-ps3","11851",NA,NA
"Rhob","Rhob","11852",388,"RHOB"
"Rhoc","Rhoc","11853",389,"RHOC"
"Rhod","Rhod","11854",29984,"RHOD"
"Arhgap5","Arhgap5","11855",394,"ARHGAP5"
"Arhgap6","Arhgap6","11856",395,"ARHGAP6"
"Arhgdib","Arhgdib","11857",397,"ARHGDIB"
"Rnd2","Rnd2","11858",8153,"RND2"
"Phox2a","Phox2a","11859",401,"PHOX2A"
"Arl4a","Arl4a","11861",10124,"ARL4A"
"Arnt","Arnt","11863",405,"ARNT"
"Arnt2","Arnt2","11864",9915,"ARNT2"
"Bmal1","Bmal1","11865",406,"BMAL1"
"Arpc1b","Arpc1b","11867",10095,"ARPC1B"
"Art1","Art1","11870",417,"ART1"
"Art2a","Art2a","11871",NA,NA
"Art2b","Art2b","11872",NA,NA
"Art5","Art5","11875",116969,"ART5"
"Artn","Artn","11876",9048,"ARTN"
"Arvcf","Arvcf","11877",421,"ARVCF"
"Arx","Arx","11878",170302,"ARX"
"Arsb","Arsb","11881",411,"ARSB"
"Arsa","Arsa","11883",410,"ARSA"
"asa","asa","11885",NA,NA
"Asah1","Asah1","11886",427,"ASAH1"
"Asgr1","Asgr1","11889",NA,NA
"Asgr2","Asgr2","11890",433,"ASGR2"
"Rab27a","Rab27a","11891",5873,"RAB27A"
"Asp1","Asp1","11893",NA,NA
"Asp2","Asp2","11894",NA,NA
"Asp3","Asp3","11895",NA,NA
"Ass1","Ass1","11898",445,"ASS1"
"Astn1","Astn1","11899",460,"ASTN1"
"at","at","11904",NA,NA
"Serpinc1","Serpinc1","11905",462,"SERPINC1"
"Zfhx3","Zfhx3","11906",463,"ZFHX3"
"Ate1","Ate1","11907",11101,"ATE1"
"Atf1","Atf1","11908",466,"ATF1"
"Atf2","Atf2","11909",1386,"ATF2"
"Atf3","Atf3","11910",467,"ATF3"
"Atf4","Atf4","11911",468,"ATF4"
"Atm","Atm","11920",472,"ATM"
"Atoh1","Atoh1","11921",474,"ATOH1"
"Neurod6","Neurod6","11922",63974,"NEUROD6"
"Neurod4","Neurod4","11923",58158,"NEUROD4"
"Neurog2","Neurog2","11924",63973,"NEUROG2"
"Neurog3","Neurog3","11925",50674,"NEUROG3"
"Atox1","Atox1","11927",475,"ATOX1"
"Atp1a1","Atp1a1","11928",476,"ATP1A1"
"Atp1b1","Atp1b1","11931",481,"ATP1B1"
"Atp1b2","Atp1b2","11932",482,"ATP1B2"
"Atp1b3","Atp1b3","11933",483,"ATP1B3"
"Fxyd2","Fxyd2","11936",486,"FXYD2"
"Atp2a1","Atp2a1","11937",487,"ATP2A1"
"Atp2a2","Atp2a2","11938",488,"ATP2A2"
"Atp2b2","Atp2b2","11941",491,"ATP2B2"
"Atp4a","Atp4a","11944",495,"ATP4A"
"Atp4b","Atp4b","11945",496,"ATP4B"
"Atp5a1","Atp5a1","11946",498,"ATP5F1A"
"Atp5b","Atp5b","11947",506,"ATP5F1B"
"Atp5c1","Atp5c1","11949",509,"ATP5F1C"
"Atp5pb","Atp5pb","11950",515,"ATP5PB"
"Atp5g1","Atp5g1","11951",516,"ATP5MC1"
"Atp5j","Atp5j","11957",522,"ATP5PF"
"Atp5k","Atp5k","11958",521,"ATP5ME"
"Atp6v1a","Atp6v1a","11964",523,"ATP6V1A"
"Atp6v1b2","Atp6v1b2","11966",526,"ATP6V1B2"
"Atp6v0d1","Atp6v0d1","11972",9114,"ATP6V0D1"
"Atp6v1e1","Atp6v1e1","11973",529,"ATP6V1E1"
"Atp6v0e","Atp6v0e","11974",8992,"ATP6V0E1"
"Atp6v0a1","Atp6v0a1","11975",535,"ATP6V0A1"
"Atp7a","Atp7a","11977",538,"ATP7A"
"Atp7b","Atp7b","11979",540,"ATP7B"
"Atp8a1","Atp8a1","11980",10396,"ATP8A1"
"Atp9a","Atp9a","11981",10079,"ATP9A"
"Atp10a","Atp10a","11982",57194,"ATP10A"
"Atpif1","Atpif1","11983",93974,"ATP5IF1"
"Atp6v0c","Atp6v0c","11984",527,"ATP6V0C"
"Slc7a1","Slc7a1","11987",6541,"SLC7A1"
"Slc7a2","Slc7a2","11988",6542,"SLC7A2"
"Slc7a3","Slc7a3","11989",84889,"SLC7A3"
"Atrn","Atrn","11990",8455,"ATRN"
"Hnrnpd","Hnrnpd","11991",3184,"HNRNPD"
"Auh","Auh","11992",549,"AUH"
"Aup1","Aup1","11993",550,"AUP1"
"Pcdh15","Pcdh15","11994",65217,"PCDH15"
"Akr1b7","Akr1b7","11997",NA,NA
"Avp","Avp","11998",551,"AVP"
"Avpr2","Avpr2","12000",554,"AVPR2"
"awg","awg","12001",NA,NA
"Axin1","Axin1","12005",8312,"AXIN1"
"Axin2","Axin2","12006",8313,"AXIN2"
"Azgp1","Azgp1","12007",563,"AZGP1"
"Cep131","Cep131","12009",22994,"CEP131"
"B2m","B2m","12010",567,"B2M"
"ba","ba","12011",NA,NA
"Baat","Baat","12012",570,"BAAT"
"Bach1","Bach1","12013",571,"BACH1"
"Bach2","Bach2","12014",60468,"BACH2"
"Bad","Bad","12015",572,"BAD"
"baf","baf","12016",NA,NA
"Bag1","Bag1","12017",573,"BAG1"
"Bak1","Bak1","12018",578,"BAK1"
"Nkx3-2","Nkx3-2","12020",579,"NKX3-2"
"Bard1","Bard1","12021",580,"BARD1"
"Barx1","Barx1","12022",56033,"BARX1"
"Barx2","Barx2","12023",8538,"BARX2"
"Bax","Bax","12028",581,"BAX"
"Bcl6b","Bcl6b","12029",255877,"BCL6B"
"Bc1-ps1","Bc1-ps1","12031",NA,NA
"Bcan","Bcan","12032",63827,"BCAN"
"Bcap29","Bcap29","12033",55973,"BCAP29"
"Phb2","Phb2","12034",11331,"PHB2"
"Bcat1","Bcat1","12035",586,"BCAT1"
"Bcat2","Bcat2","12036",587,"BCAT2"
"Bche","Bche","12038",590,"BCHE"
"Bckdha","Bckdha","12039",593,"BCKDHA"
"Bckdhb","Bckdhb","12040",594,"BCKDHB"
"Bckdk","Bckdk","12041",10295,"BCKDK"
"Bcl10","Bcl10","12042",8915,"BCL10"
"Bcl2","Bcl2","12043",596,"BCL2"
"Bcl2a1a","Bcl2a1a","12044",NA,NA
"Bcl2a1b","Bcl2a1b","12045",NA,NA
"Bcl2a1c","Bcl2a1c","12046",NA,NA
"Bcl2a1d","Bcl2a1d","12047",NA,NA
"Bcl2l1","Bcl2l1","12048",598,"BCL2L1"
"Bcl2l10","Bcl2l10","12049",10017,"BCL2L10"
"Bcl2l2","Bcl2l2","12050",NA,NA
"Bcl3","Bcl3","12051",602,"BCL3"
"Bcl6","Bcl6","12053",604,"BCL6"
"Bcl7b","Bcl7b","12054",9275,"BCL7B"
"Bcl7c","Bcl7c","12055",9274,"BCL7C"
"Opn1sw","Opn1sw","12057",611,"OPN1SW"
"bd","bd","12059",NA,NA
"Bdkrb1","Bdkrb1","12061",623,"BDKRB1"
"Bdkrb2","Bdkrb2","12062",624,"BDKRB2"
"Bdnf","Bdnf","12064",627,"BDNF"
"Bemv1","Bemv1","12066",NA,NA
"Ube2n-ps1","Ube2n-ps1","12067",NA,NA
"Bet1","Bet1","12068",10282,"BET1"
"Bex2","Bex2","12069",55859,"BEX1"
"Bex3","Bex3","12070",27018,"BEX3"
"Bfsp1","Bfsp1","12075",631,"BFSP1"
"Glb1","Glb1","12091",2720,"GLB1"
"Bglap3","Bglap3","12095",NA,NA
"Bglap","Bglap","12096",632,"BGLAP"
"Bglap2","Bglap2","12097",NA,NA
"Bgn","Bgn","12111",633,"BGN"
"bh","bh","12114",NA,NA
"Bhmt","Bhmt","12116",635,"BHMT"
"Bicd1","Bicd1","12121",636,"BICD1"
"Bid","Bid","12122",637,"BID"
"Hrk","Hrk","12123",8739,"HRK"
"Bik","Bik","12124",638,"BIK"
"Bcl2l11","Bcl2l11","12125",10018,"BCL2L11"
"Bkm1","Bkm1","12131",NA,NA
"Fabp7","Fabp7","12140",2173,"FABP7"
"Prdm1","Prdm1","12142",639,"PRDM1"
"Blk","Blk","12143",640,"BLK"
"Blm","Blm","12144",641,"BLM"
"Cxcr5","Cxcr5","12145",643,"CXCR5"
"Bmi1","Bmi1","12151",648,"BMI1"
"Bmp1","Bmp1","12153",649,"BMP1"
"Bmp10","Bmp10","12154",27302,"BMP10"
"Bmp15","Bmp15","12155",9210,"BMP15"
"Bmp2","Bmp2","12156",650,"BMP2"
"Bmp4","Bmp4","12159",652,"BMP4"
"Bmp5","Bmp5","12160",653,"BMP5"
"Bmp6","Bmp6","12161",654,"BMP6"
"Bmp7","Bmp7","12162",655,"BMP7"
"Bmp8a","Bmp8a","12163",353500,"BMP8A"
"Bmp8b","Bmp8b","12164",656,"BMP8B"
"Gdf2","Gdf2","12165",2658,"GDF2"
"Bmpr1a","Bmpr1a","12166",657,"BMPR1A"
"Bmpr1b","Bmpr1b","12167",658,"BMPR1B"
"Bmpr2","Bmpr2","12168",659,"BMPR2"
"Bmx","Bmx","12169",660,"BMX"
"Bnc1","Bnc1","12173",646,"BNC1"
"Bnip2","Bnip2","12175",663,"BNIP2"
"Bnip3","Bnip3","12176",664,"BNIP3"
"Bnip3l","Bnip3l","12177",665,"BNIP3L"
"Smyd1","Smyd1","12180",150572,"SMYD1"
"Bop1","Bop1","12181",23246,"BOP1"
"Bst1","Bst1","12182",683,"BST1"
"Bpgm","Bpgm","12183",669,"BPGM"
"Brca1","Brca1","12189",672,"BRCA1"
"Brca2","Brca2","12190",675,"BRCA2"
"Zfp36l1","Zfp36l1","12192",677,"ZFP36L1"
"Zfp36l2","Zfp36l2","12193",678,"ZFP36L2"
"Brs3","Brs3","12209",680,"BRS3"
"Birc6","Birc6","12211",57448,"BIRC6"
"Chic1","Chic1","12212",53344,"CHIC1"
"Bsg","Bsg","12215",682,"BSG"
"Bsn","Bsn","12217",8927,"BSN"
"bt2","bt2","12222",NA,NA
"Btc","Btc","12223",685,"BTC"
"Klf5","Klf5","12224",688,"KLF5"
"Btg1","Btg1","12226",694,"BTG1"
"Btg2","Btg2","12227",7832,"BTG2"
"Btg3","Btg3","12228",10950,"BTG3"
"Btk","Btk","12229",695,"BTK"
"Btn1a1","Btn1a1","12231",696,"BTN1A1"
"Btrc","Btrc","12234",8945,"BTRC"
"Bub1","Bub1","12235",699,"BUB1"
"Bub1b","Bub1b","12236",701,"BUB1B"
"Bub3","Bub3","12237",9184,"BUB3"
"Commd3","Commd3","12238",23412,"COMMD3"
"Bxv1","Bxv1","12256",NA,NA
"Tspo","Tspo","12257",706,"TSPO"
"Serping1","Serping1","12258",710,"SERPING1"
"C1qa","C1qa","12259",712,"C1QA"
"C1qb","C1qb","12260",713,"C1QB"
"C1qbp","C1qbp","12261",708,"C1QBP"
"C1qc","C1qc","12262",714,"C1QC"
"C2","C2","12263",717,"C2"
"Ciita","Ciita","12265",4261,"CIITA"
"C3","C3","12266",718,"C3"
"C3ar1","C3ar1","12267",719,"C3AR1"
"C4b","C4b","12268",NA,NA
"C4bp","C4bp","12269",NA,NA
"C4bp-ps1","C4bp-ps1","12270",NA,NA
"C5ar1","C5ar1","12273",728,"C5AR1"
"C6","C6","12274",729,"C6"
"C9","C9","12279",735,"C9"
"cab","cab","12281",NA,NA
"Hyou1","Hyou1","12282",10525,"HYOU1"
"Cab39","Cab39","12283",51719,"CAB39"
"cac","cac","12285",NA,NA
"Cacna1a","Cacna1a","12286",773,"CACNA1A"
"Cacna1b","Cacna1b","12287",774,"CACNA1B"
"Cacna1c","Cacna1c","12288",775,"CACNA1C"
"Cacna1d","Cacna1d","12289",776,"CACNA1D"
"Cacna1e","Cacna1e","12290",777,"CACNA1E"
"Cacna1g","Cacna1g","12291",8913,"CACNA1G"
"Cacna1s","Cacna1s","12292",779,"CACNA1S"
"Cacna2d1","Cacna2d1","12293",781,"CACNA2D1"
"Cacna2d3","Cacna2d3","12294",55799,"CACNA2D3"
"Cacnb1","Cacnb1","12295",782,"CACNB1"
"Cacnb2","Cacnb2","12296",783,"CACNB2"
"Cacnb3","Cacnb3","12297",784,"CACNB3"
"Cacnb4","Cacnb4","12298",785,"CACNB4"
"Cacng1","Cacng1","12299",786,"CACNG1"
"Cacng2","Cacng2","12300",10369,"CACNG2"
"Cacybp","Cacybp","12301",27101,"CACYBP"
"Pdia4","Pdia4","12304",9601,"PDIA4"
"Ddr1","Ddr1","12305",780,"DDR1"
"Anxa2","Anxa2","12306",302,"ANXA2"
"Calb1","Calb1","12307",793,"CALB1"
"Calb2","Calb2","12308",794,"CALB2"
"S100g","S100g","12309",795,"S100G"
"Calca","Calca","12310",796,"CALCA"
"Calcr","Calcr","12311",799,"CALCR"
"Calm1","Calm1","12313",801,"CALM1"
"Calm2","Calm2","12314",805,"CALM2"
"Calm3","Calm3","12315",808,"CALM3"
"Aspm","Aspm","12316",259266,"ASPM"
"Calr","Calr","12317",811,"CALR"
"Car8","Car8","12319",767,"CA8"
"Calu","Calu","12321",813,"CALU"
"Camk2a","Camk2a","12322",815,"CAMK2A"
"Camk2b","Camk2b","12323",816,"CAMK2B"
"Camk2g","Camk2g","12325",818,"CAMK2G"
"Camk4","Camk4","12326",814,"CAMK4"
"Caml","Caml","12328",819,"CAMLG"
"can","can","12329",NA,NA
"Canx","Canx","12330",821,"CANX"
"Cap1","Cap1","12331",10487,"CAP1"
"Capg","Capg","12332",822,"CAPG"
"Capn1","Capn1","12333",823,"CAPN1"
"Capn2","Capn2","12334",824,"CAPN2"
"Capn3","Capn3","12335",825,"CAPN3"
"Capns1","Capns1","12336",826,"CAPNS1"
"Capn5","Capn5","12337",726,"CAPN5"
"Capn6","Capn6","12338",827,"CAPN6"
"Capn7","Capn7","12339",23473,"CAPN7"
"Capza1","Capza1","12340",829,"CAPZA1"
